question,sentence,answer
who wrote  nature boy,"Nature Boy is a song by Eden Ahbez , published in 1947.",Eden Ahbez
who wrote  nature boy,"Nature Boy is a song by Eden Ahbez , published in 1947.",Eden Ahbez
when did playstation 3 first launch,The launch of the PlayStation 3 into the Japanese market on 10 November 2006 marked the second major seventh generation entertainment system to be released.,10 November 2006
when did playstation 3 first launch,The launch of the PlayStation 3 into the Japanese market on 10 November 2006 marked the second major seventh generation entertainment system to be released.,10 November 2006
where does ground pepper come from,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning .",family Piperaceae
where does ground pepper come from,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning .","a flowering vine in the family Piperaceae , cultivated for its fruit"
where does ground pepper come from,"Black pepper is native to south India , and is extensively cultivated there and elsewhere in tropical regions.",tropical regions
where does ground pepper come from,"Black pepper is native to south India , and is extensively cultivated there and elsewhere in tropical regions.",south India
where does ground pepper come from,"Currently Vietnam is the world's largest producer and exporter of pepper, producing 34% of the world's Piper nigrum crop as of 2008.",Vietnam
where does ground pepper come from,"Currently Vietnam is the world's largest producer and exporter of pepper, producing 34% of the world's Piper nigrum crop as of 2008.",Vietnam
who wrote the song cocaine,"Cocaine is a song written and recorded by JJ Cale in 1976, but also known as a cover version recorded by Eric Clapton .",JJ Cale
who wrote the song cocaine,"Cocaine is a song written and recorded by JJ Cale in 1976, but also known as a cover version recorded by Eric Clapton .",JJ Cale
when did pearl harbor get bombed,"The attack on Pearl Harbor (called Hawaii Operation or Operation AI by the Japanese Imperial General Headquarters (Operation Z in planning) and the Battle of Pearl Harbor) was a surprise military strike conducted by the Imperial Japanese Navy against the United States naval base at Pearl Harbor , Hawaii, on the morning of December 7, 1941 (December 8 in Japan).","December 7, 1941"
when did pearl harbor get bombed,"The attack on Pearl Harbor (called Hawaii Operation or Operation AI by the Japanese Imperial General Headquarters (Operation Z in planning) and the Battle of Pearl Harbor) was a surprise military strike conducted by the Imperial Japanese Navy against the United States naval base at Pearl Harbor , Hawaii, on the morning of December 7, 1941 (December 8 in Japan).","the morning of December 7, 1941 (December 8 in Japan)"
who won season 2 of project runway,"The winning designer, Chloe Dao , received $100,000 in seed money to help launch her own line, a 2007 Saturn Sky roadster, a spread in ELLE magazine, and a mentorship with the Banana Republic Design Team.",Chloe Dao
who won season 2 of project runway,"The winning designer, Chloe Dao , received $100,000 in seed money to help launch her own line, a 2007 Saturn Sky roadster, a spread in ELLE magazine, and a mentorship with the Banana Republic Design Team.",Chloe Dao
what is a mule in coins,"In numismatics , a mule is a coin or medal minted with obverse and reverse designs not normally seen on the same piece.",a coin or medal minted with obverse and reverse designs not normally seen on the same piece
what is a mule in coins,"In numismatics , a mule is a coin or medal minted with obverse and reverse designs not normally seen on the same piece.",a coin or medal minted with obverse and reverse designs not normally seen on the same piece
who plays mary poppins in the movie,"Mary Poppins is a 1964 musical film starring Julie Andrews , Dick Van Dyke , David Tomlinson , and Glynis Johns , produced by Walt Disney , and based on the Mary Poppins books series by P. L. Travers .","Julie Andrews , Dick Van Dyke , David Tomlinson , and Glynis Johns"
who plays mary poppins in the movie,"Mary Poppins is a 1964 musical film starring Julie Andrews , Dick Van Dyke , David Tomlinson , and Glynis Johns , produced by Walt Disney , and based on the Mary Poppins books series by P. L. Travers .",Julie Andrews
what is an arc in a story plot,"A story arc is an extended or continuing storyline in episodic storytelling media such as television , comic books , comic strips , boardgames , video games , and in some cases, films .","an extended or continuing storyline in episodic storytelling media such as television , comic books , comic strips , boardgames , video games , and in some cases, films"
what is an arc in a story plot,"A story arc is an extended or continuing storyline in episodic storytelling media such as television , comic books , comic strips , boardgames , video games , and in some cases, films .","an extended or continuing storyline in episodic storytelling media such as television , comic books , comic strips , boardgames , video games , and in some cases, films"
when does black friday start for christmas,"Black Friday is the day following Thanksgiving Day in the United States , often regarded as the beginning of the Christmas shopping season.",the day following Thanksgiving Day
when does black friday start for christmas,"Black Friday is the day following Thanksgiving Day in the United States , often regarded as the beginning of the Christmas shopping season.",the day following Thanksgiving Day in the United States
when does black friday start for christmas,"This was taken to a new extreme in 2011, when several retailers (including Target , Kohl's , Macy's , Best Buy , and Bealls ) opened at midnight for the first time.",midnight
when does black friday start for christmas,"In 2012, Walmart and several other retailers announced that they would open most of their stores at 8:00 p.m. on Thanksgiving Day (except in states where opening on Thanksgiving is prohibited due to blue laws , such as Massachusetts where they still opened around midnight), prompting calls for a walkout among some workers.",8:00 p.m. on Thanksgiving Day
when does black friday start for christmas,"In 2012, Walmart and several other retailers announced that they would open most of their stores at 8:00 p.m. on Thanksgiving Day (except in states where opening on Thanksgiving is prohibited due to blue laws , such as Massachusetts where they still opened around midnight), prompting calls for a walkout among some workers.",:00 p.m. on Thanksgiving Day
who sang what a wonderful world,It was first recorded by Louis Armstrong and released as a single in 1967.,Louis Armstrong
who sang what a wonderful world,It was first recorded by Louis Armstrong and released as a single in 1967.,Louis Armstrong
what month is the president inaugurated,"The day a presidential inauguration occurs is known as ""Inauguration Day"" and occurs on January 20 (or 21st if the 20th is a Sunday).",January
what month is the president inaugurated,"The day a presidential inauguration occurs is known as ""Inauguration Day"" and occurs on January 20 (or 21st if the 20th is a Sunday).",January
what movement was elizabeth cady stanton a part of,"Elizabeth Cady Stanton (November 12, 1815 – October 26, 1902) was an American social activist , abolitionist, and leading figure of the early women's rights movement .",the early women's rights movement
what movement was elizabeth cady stanton a part of,"Elizabeth Cady Stanton (November 12, 1815 – October 26, 1902) was an American social activist , abolitionist, and leading figure of the early women's rights movement .",the early women's rights movement
what movement was elizabeth cady stanton a part of,"Her Declaration of Sentiments , presented at the first women's rights convention held in 1848 in Seneca Falls , New York , is often credited with initiating the first organized women's rights and women's suffrage movements in the United States.",women's rights and women's suffrage movements
what movement was elizabeth cady stanton a part of,"Her Declaration of Sentiments , presented at the first women's rights convention held in 1848 in Seneca Falls , New York , is often credited with initiating the first organized women's rights and women's suffrage movements in the United States.",the first organized women's rights and women's suffrage movements in the United States
what radio station are the boston bruins on?,"The Boston Bruins Radio Network is a 25-station (17 A.M., 8 F.M. plus 2 F.M. translators) CBS Radio network which carries live game broadcasts of the Boston Bruins .",CBS Radio network
what radio station are the boston bruins on?,"The Boston Bruins Radio Network is a 25-station (17 A.M., 8 F.M. plus 2 F.M. translators) CBS Radio network which carries live game broadcasts of the Boston Bruins .","a 25-station (17 A.M., 8 F.M. plus 2 F.M. translators) CBS Radio network"
what radio station are the boston bruins on?,"The network's flagship station is WBZ-FM /98.5- Boston, Massachusetts .","WBZ-FM /98.5- Boston, Massachusetts"
what radio station are the boston bruins on?,"The network's flagship station is WBZ-FM /98.5- Boston, Massachusetts .",WBZ-FM /98.5
what are the characteristics of an ethnic group,Ethnicity or ethnic group is a socially defined category based on common culture or nationality .,a socially defined category based on common culture or nationality
what are the characteristics of an ethnic group,Ethnicity or ethnic group is a socially defined category based on common culture or nationality .,common culture or nationality
what are the characteristics of an ethnic group,"Ethnicity can, but does not have to, include common ancestry , appearance , cuisine , dressing style, heritage , history , language or dialect , religion , symbols , traditions , or other cultural factor.","common ancestry , appearance , cuisine , dressing style, heritage , history , language or dialect , religion , symbols , traditions , or other cultural factor"
what are the characteristics of an ethnic group,"Ethnicity can, but does not have to, include common ancestry , appearance , cuisine , dressing style, heritage , history , language or dialect , religion , symbols , traditions , or other cultural factor.","common ancestry , appearance , cuisine , dressing style, heritage , history , language or dialect , religion , symbols , traditions , or other cultural factor"
what are the characteristics of an ethnic group,Ethnic identity is constantly reinforced through common characteristics which set the group apart from other groups.,common characteristics which set the group apart from other groups
what are add ons,"Plug-in (computing) , a piece of software which enhances another software application and usually cannot be run independently",a piece of software which enhances another software application and usually cannot be run independently
what are add ons,"Plug-in (computing) , a piece of software which enhances another software application and usually cannot be run independently","Plug-in (computing) , a piece of software which enhances another software application and usually cannot be run independently"
what are add ons,"Browser extension , which modifies the interface and/or behavior of web browsers",modifies the interface and/or behavior of web browsers
what are add ons,"Browser extension , which modifies the interface and/or behavior of web browsers","Browser extension , which modifies the interface and/or behavior of web browsers"
what are add ons,"Add-on (Mozilla) , a piece of software that enhances and customizes Mozilla-based applications",a piece of software that enhances and customizes Mozilla-based applications
what are add ons,"Add-on (Mozilla) , a piece of software that enhances and customizes Mozilla-based applications","Add-on (Mozilla) , a piece of software that enhances and customizes Mozilla-based applications"
what are add ons,"Add-ons for Firefox (addons.mozilla.org), the official Mozilla Foundation web site which serves as a repository of add-ons for Mozilla-based applications",serves as a repository of add-ons for Mozilla-based applications
what are add ons,"Add-ons for Firefox (addons.mozilla.org), the official Mozilla Foundation web site which serves as a repository of add-ons for Mozilla-based applications","Add-ons for Firefox (addons.mozilla.org), the official Mozilla Foundation web site which serves as a repository of add-ons for Mozilla-based applications"
what are add ons,"Peripheral , an optional computer hardware component that significantly supplements or enhances the functionality of the original unit",an optional computer hardware component that significantly supplements or enhances the functionality of the original unit
what are add ons,"Peripheral , an optional computer hardware component that significantly supplements or enhances the functionality of the original unit","Peripheral , an optional computer hardware component that significantly supplements or enhances the functionality of the original unit"
what are add ons,"Video game accessory , a piece of hardware used in conjunction with a video game console for playing video games",a piece of hardware used in conjunction with a video game console for playing video games
what are add ons,"Video game accessory , a piece of hardware used in conjunction with a video game console for playing video games","Video game accessory , a piece of hardware used in conjunction with a video game console for playing video games"
what are club seats,"They are usually right next to the Luxury Boxes , either right above, right below, or sandwiched between two levels of Luxury Boxes.","right next to the Luxury Boxes , either right above, right below, or sandwiched between two levels of Luxury Boxes"
what are club seats,"They are usually right next to the Luxury Boxes , either right above, right below, or sandwiched between two levels of Luxury Boxes.","usually right next to the Luxury Boxes , either right above, right below, or sandwiched between two levels of Luxury Boxes"
what are club seats,"Club Level seating is considered as higher class than sitting anywhere else in the arena, but lower class compared to the Luxury Boxes.","higher class than sitting anywhere else in the arena, but lower class compared to the Luxury Boxes"
what are club seats,"Club Level seating is considered as higher class than sitting anywhere else in the arena, but lower class compared to the Luxury Boxes.","higher class than sitting anywhere else in the arena, but lower class compared to the Luxury Boxes"
what school did oprah winfrey help,"The Oprah Winfrey Leadership Academy for Girls - South Africa is a female boarding school founded in January 2007 and located in Henley on Klip near Meyerton , south of Johannesburg , South Africa .",The Oprah Winfrey Leadership Academy for Girls - South Africa
what school did oprah winfrey help,"The Oprah Winfrey Leadership Academy for Girls - South Africa is a female boarding school founded in January 2007 and located in Henley on Klip near Meyerton , south of Johannesburg , South Africa .",The Oprah Winfrey Leadership Academy for Girls
what structure is disulfide bonds,"In chemistry , a disulfide bond (Br.E. disulphide bond) is a covalent bond , usually derived by the coupling of two thiol groups .","a covalent bond , usually derived by the coupling of two thiol groups"
what is a redshirt freshman football player,"In United States college athletics , redshirt is a delay or suspension of an athlete's participation in order to lengthen his or her period of eligibility.",a delay or suspension of an athlete's participation in order to lengthen his or her period of eligibility
what is a redshirt freshman football player,"In United States college athletics , redshirt is a delay or suspension of an athlete's participation in order to lengthen his or her period of eligibility.",a delay or suspension of an athlete's participation in order to lengthen his or her period of eligibility
who rules communism government,It has a form of government characterized by single-party rule or dominant-party rule of a communist party (referred as Dictatorship of the Proletariat by its proponents) and a professed allegiance to a Leninist or Marxist–Leninist ideology as the guiding principle of the state.,a communist party (referred as Dictatorship of the Proletariat by its proponents)
who rules communism government,It has a form of government characterized by single-party rule or dominant-party rule of a communist party (referred as Dictatorship of the Proletariat by its proponents) and a professed allegiance to a Leninist or Marxist–Leninist ideology as the guiding principle of the state.,single-party rule or dominant-party rule of a communist party
what year did South Africa become a team in rugby,"The side has been playing international rugby since 1891, when a British Isles side toured the nation, playing South Africa in their first Test on 30 July.",1891
what year did South Africa become a team in rugby,"The side has been playing international rugby since 1891, when a British Isles side toured the nation, playing South Africa in their first Test on 30 July.",1891
what is a discipline of study,"An academic discipline, or field of study, is a branch of knowledge that is taught and researched at the college or university level.",a branch of knowledge that is taught and researched at the college or university level
what is a discipline of study,"An academic discipline, or field of study, is a branch of knowledge that is taught and researched at the college or university level.",a branch of knowledge that is taught and researched at the college or university level
what is a discipline of study,"Disciplines are defined (in part), and recognized by the academic journals in which research is published, and the learned societies and academic departments or faculties to which their practitioners belong.","research is published, and the learned societies and academic departments or faculties to which their practitioners belong"
what is a discipline of study,"Disciplines are defined (in part), and recognized by the academic journals in which research is published, and the learned societies and academic departments or faculties to which their practitioners belong.","Disciplines are defined (in part), and recognized by the academic journals in which research is published, and the learned societies and academic departments or faculties to which their practitioners belong"
who did john f kennedy run against?,Kennedy defeated Vice President and Republican candidate Richard Nixon in the 1960 U.S. presidential election .,Richard Nixon
who did john f kennedy run against?,Kennedy defeated Vice President and Republican candidate Richard Nixon in the 1960 U.S. presidential election .,Richard Nixon
who wrote stand by me,"Stand by Me is a song originally performed by Ben E. King and written by King, Jerry Leiber , and Mike Stoller , inspired by the spiritual ""Lord Stand by Me,"" plus two lines rooted in Psalms 46:2–3.","King, Jerry Leiber , and Mike Stoller"
who wrote stand by me,"Stand by Me is a song originally performed by Ben E. King and written by King, Jerry Leiber , and Mike Stoller , inspired by the spiritual ""Lord Stand by Me,"" plus two lines rooted in Psalms 46:2–3.","King, Jerry Leiber , and Mike Stoller"
what are metaphors used for,"A metaphor is a figure of speech that describes a subject by asserting that it is, on some point of comparison, the same as another otherwise unrelated object.","describes a subject by asserting that it is, on some point of comparison, the same as another otherwise unrelated object"
what are metaphors used for,"A metaphor is a figure of speech that describes a subject by asserting that it is, on some point of comparison, the same as another otherwise unrelated object.","A metaphor is a figure of speech that describes a subject by asserting that it is, on some point of comparison, the same as another otherwise unrelated object"
what are metaphors used for,"Metaphor is a type of analogy and is closely related to other rhetorical figures of speech that achieve their effects via association, comparison or resemblance including allegory , hyperbole , and simile .","achieve their effects via association, comparison or resemblance including allegory , hyperbole , and simile"
what are metaphors used for,"Metaphor is a type of analogy and is closely related to other rhetorical figures of speech that achieve their effects via association, comparison or resemblance including allegory , hyperbole , and simile .","Metaphor is a type of analogy and is closely related to other rhetorical figures of speech that achieve their effects via association, comparison or resemblance including allegory , hyperbole , and simile"
what are the names of the ll divos,"Il Divo is a group of four male singers: French pop singer Sébastien Izambard , Spanish baritone Carlos Marín , American tenor David Miller , and Swiss tenor Urs Bühler .","French pop singer Sébastien Izambard , Spanish baritone Carlos Marín , American tenor David Miller , and Swiss tenor Urs Bühler"
what are the names of the ll divos,"Il Divo is a group of four male singers: French pop singer Sébastien Izambard , Spanish baritone Carlos Marín , American tenor David Miller , and Swiss tenor Urs Bühler .","French pop singer Sébastien Izambard , Spanish baritone Carlos Marín , American tenor David Miller , and Swiss tenor Urs Bühler"
where did the vietnamese settle in america,"More than sixty percent of Vietnamese Americans reside in the states of California , Texas , Washington , Florida , and Virginia .","states of California , Texas , Washington , Florida , and Virginia"
where did the vietnamese settle in america,"More than sixty percent of Vietnamese Americans reside in the states of California , Texas , Washington , Florida , and Virginia .","California , Texas , Washington , Florida , and Virginia"
when did hitler kill himself,Adolf Hitler committed suicide by gunshot on 30 April 1945 in his Führerbunker in Berlin.,30 April 1945
when did hitler kill himself,Adolf Hitler committed suicide by gunshot on 30 April 1945 in his Führerbunker in Berlin.,30 April 1945
when did world war 2 end,"World War II (WWII or WW2), also known as the Second World War, was a global war that lasted from 1939 to 1945.",1945
when did world war 2 end,"World War II (WWII or WW2), also known as the Second World War, was a global war that lasted from 1939 to 1945.",1945
what is a llc company?,A limited liability company (LLC) is a flexible form of enterprise that blends elements of partnership and corporate structures.,a flexible form of enterprise that blends elements of partnership and corporate structures
what is a llc company?,A limited liability company (LLC) is a flexible form of enterprise that blends elements of partnership and corporate structures.,A limited liability company (LLC) is a flexible form of enterprise that blends elements of partnership and corporate structures
what is a llc company?,An LLC is a legal form of company that provides limited liability to its owners in the vast majority of United States jurisdictions.,a legal form of company that provides limited liability to its owners in the vast majority of United States jurisdictions
what is a llc company?,An LLC is a legal form of company that provides limited liability to its owners in the vast majority of United States jurisdictions.,An LLC is a legal form of company that provides limited liability to its owners in the vast majority of United States jurisdictions
what are k cups,"K-Cup portion packs are used with Keurig or other single cup brewing systems to brew a cup of coffee , tea , or hot chocolate .","used with Keurig or other single cup brewing systems to brew a cup of coffee , tea , or hot chocolate"
what are k cups,"K-Cup portion packs are used with Keurig or other single cup brewing systems to brew a cup of coffee , tea , or hot chocolate .","K-Cup portion packs are used with Keurig or other single cup brewing systems to brew a cup of coffee , tea , or hot chocolate"
what is a chronograph watch,A chronograph is a specific type of watch that is used as a stopwatch combined with a display watch.,a specific type of watch that is used as a stopwatch combined with a display watch
what is a chronograph watch,A chronograph is a specific type of watch that is used as a stopwatch combined with a display watch.,a specific type of watch that is used as a stopwatch combined with a display watch
what is a PCI port used for,"Conventional PCI (PCI is an initialism formed from Peripheral Component Interconnect, part of the PCI Local Bus standard and often shortened to just PCI) is a local computer bus for attaching hardware devices in a computer .",attaching hardware devices in a computer
what is a PCI port used for,"Conventional PCI (PCI is an initialism formed from Peripheral Component Interconnect, part of the PCI Local Bus standard and often shortened to just PCI) is a local computer bus for attaching hardware devices in a computer .",a local computer bus for attaching hardware devices in a computer
who invented the television,"The earliest proposal was in 1908, in a paper by A. A. Campbell-Swinton and postulated the use of cathode rays.",A. A. Campbell-Swinton
who invented the television,"The earliest proposal was in 1908, in a paper by A. A. Campbell-Swinton and postulated the use of cathode rays.",A. A. Campbell-Swinton
what are the side effects for lyme disease,"Early symptoms may include fever , headache , fatigue , depression , and a characteristic circular skin rash called erythema migrans (EM).","fever , headache , fatigue , depression , and a characteristic circular skin rash called erythema migrans (EM)"
what are the side effects for lyme disease,"Early symptoms may include fever , headache , fatigue , depression , and a characteristic circular skin rash called erythema migrans (EM).","fever , headache , fatigue , depression , and a characteristic circular skin rash called erythema migrans (EM)"
what are the side effects for lyme disease,"Left untreated, later symptoms may involve the joints, heart, and central nervous system .","the joints, heart, and central nervous system"
what are the side effects for lyme disease,"Left untreated, later symptoms may involve the joints, heart, and central nervous system .","joints, heart, and central nervous system"
what are a and r reps,Artists and repertoire (A&R) is the division of a record label or music publishing company that is responsible for talent scouting and overseeing the artistic development of recording artists and/or songwriters.,the division of a record label or music publishing company that is responsible for talent scouting and overseeing the artistic development of recording artists and/or songwriters
what are a and r reps,Artists and repertoire (A&R) is the division of a record label or music publishing company that is responsible for talent scouting and overseeing the artistic development of recording artists and/or songwriters.,Artists and repertoire (A&R) is the division of a record label or music publishing company that is responsible for talent scouting and overseeing the artistic development of recording artists and/or songwriters
what measurement is a furlong,"A furlong is a measure of distance in imperial units and U.S. customary units equal to one-eighth of a mile , equivalent to 220 yards , 660 feet , 40 rods , or 10 chains .","a measure of distance in imperial units and U.S. customary units equal to one-eighth of a mile , equivalent to 220 yards , 660 feet , 40 rods , or 10 chains"
what measurement is a furlong,"A furlong is a measure of distance in imperial units and U.S. customary units equal to one-eighth of a mile , equivalent to 220 yards , 660 feet , 40 rods , or 10 chains .","A furlong is a measure of distance in imperial units and U.S. customary units equal to one-eighth of a mile , equivalent to 220 yards , 660 feet , 40 rods , or 10 chains"
where does ray lamontagne live,He lives in Massachusetts with his wife and two children.,Massachusetts
where does ray lamontagne live,He lives in Massachusetts with his wife and two children.,Massachusetts
when the wind blows james patterson,When the Wind Blows is a novel by James Patterson .,a novel by James Patterson
who made facebook,"It was founded in February 2004 by Mark Zuckerberg with his college roommates and fellow Harvard University students Eduardo Saverin , Andrew McCollum , Dustin Moskovitz and Chris Hughes .",Mark Zuckerberg
who made facebook,"It was founded in February 2004 by Mark Zuckerberg with his college roommates and fellow Harvard University students Eduardo Saverin , Andrew McCollum , Dustin Moskovitz and Chris Hughes .","Mark Zuckerberg with his college roommates and fellow Harvard University students Eduardo Saverin , Andrew McCollum , Dustin Moskovitz and Chris Hughes"
what are the catholic gifts of the holy spirit,"The seven gifts of the Holy Spirit is an enumeration of seven spiritual gifts originating with patristic authors, later elaborated by five intellectual virtues and four other groups of ethical characteristics.","an enumeration of seven spiritual gifts originating with patristic authors, later elaborated by five intellectual virtues and four other groups of ethical characteristics"
what are the catholic gifts of the holy spirit,"The seven gifts of the Holy Spirit is an enumeration of seven spiritual gifts originating with patristic authors, later elaborated by five intellectual virtues and four other groups of ethical characteristics.","an enumeration of seven spiritual gifts originating with patristic authors, later elaborated by five intellectual virtues and four other groups of ethical characteristics"
what are the catholic gifts of the holy spirit,"They are: wisdom, understanding, wonder and awe (fear of the Lord) , counsel, knowledge, fortitude, and piety (reverence).","wisdom, understanding, wonder and awe (fear of the Lord) , counsel, knowledge, fortitude, and piety (reverence)"
what are the catholic gifts of the holy spirit,"They are: wisdom, understanding, wonder and awe (fear of the Lord) , counsel, knowledge, fortitude, and piety (reverence).","wisdom, understanding, wonder and awe (fear of the Lord) , counsel, knowledge, fortitude, and piety (reverence)"
where do you find iodine,"Iodine is found on Earth mainly as the highly water-soluble iodide ion, I−, which concentrates it in oceans and brine pools .",oceans and brine pools
where do you find iodine,"Iodine is found on Earth mainly as the highly water-soluble iodide ion, I−, which concentrates it in oceans and brine pools .",oceans and brine pools
what are lobbying groups,"Lobbying (also lobby) is the act of attempting to influence decisions made by officials in the government , most often legislators or members of regulatory agencies .","the act of attempting to influence decisions made by officials in the government , most often legislators or members of regulatory agencies"
what are lobbying groups,"Lobbying (also lobby) is the act of attempting to influence decisions made by officials in the government , most often legislators or members of regulatory agencies .","Lobbying (also lobby) is the act of attempting to influence decisions made by officials in the government , most often legislators or members of regulatory agencies"
what are lobbying groups,"Lobbying is done by many different types of people and organized groups, including individuals in the private sector , corporations , fellow legislators or government officials, or advocacy groups (interest groups).","individuals in the private sector , corporations , fellow legislators or government officials, or advocacy groups"
what are lobbying groups,"Lobbying is done by many different types of people and organized groups, including individuals in the private sector , corporations , fellow legislators or government officials, or advocacy groups (interest groups).","Lobbying is done by many different types of people and organized groups, including individuals in the private sector , corporations , fellow legislators or government officials, or advocacy groups (interest groups)"
who played the drums in the band cream back in 1968,"Cream were a 1960s British rock supergroup consisting of bassist/vocalist Jack Bruce , guitarist/vocalist Eric Clapton , and drummer Ginger Baker .",Ginger Baker
who played the drums in the band cream back in 1968,"Cream were a 1960s British rock supergroup consisting of bassist/vocalist Jack Bruce , guitarist/vocalist Eric Clapton , and drummer Ginger Baker .",Ginger Baker
what president made decision to buy louisiana,The purchase of the territory of Louisiana took place during the presidency of Thomas Jefferson .,Thomas Jefferson
what president made decision to buy louisiana,The purchase of the territory of Louisiana took place during the presidency of Thomas Jefferson .,Thomas Jefferson
who sang cool jerk,Cool Jerk is a popular song written by Donald Storball and originally performed by The Capitols .,The Capitols
who sang cool jerk,Cool Jerk is a popular song written by Donald Storball and originally performed by The Capitols .,The Capitols
what is a league in the sea,"In the context of nautical distances, the 3 mile (4.8 km) distance corresponds to how far an observer of average height (5'9"" or 1.78 m) can see when standing at sea level.",3 mile (4.8 km)
what is a league in the sea,"In the context of nautical distances, the 3 mile (4.8 km) distance corresponds to how far an observer of average height (5'9"" or 1.78 m) can see when standing at sea level.",3 mile (4.8 km)
when will ie9 be released,"It was released to the public on March 14, 2011.","March 14, 2011"
when will ie9 be released,"It was released to the public on March 14, 2011.","March 14, 2011"
when did classification of races begin,"First used to denote national affiliations, the term began to be used to relate to physical traits in the 17th century.",17th century
when did classification of races begin,"First used to denote national affiliations, the term began to be used to relate to physical traits in the 17th century.",the 17th century
when did lucy stone died,"Lucy Stone (August 13, 1818 – October 19, 1893) was a prominent American abolitionist and suffragist , and a vocal advocate and organizer promoting rights for women .","October 19, 1893"
when did lucy stone died,"Lucy Stone (August 13, 1818 – October 19, 1893) was a prominent American abolitionist and suffragist , and a vocal advocate and organizer promoting rights for women .","October 19, 1893"
what are stocks and bonds,"In finance , a bond is an instrument of indebtedness of the bond issuer to the holders.",a bond is an instrument of indebtedness of the bond issuer to the holders
what are stocks and bonds,"In finance , a bond is an instrument of indebtedness of the bond issuer to the holders.",a bond is an instrument of indebtedness of the bond issuer to the holders
what are stocks and bonds,"Bonds and stocks are both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders).","both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders)"
what are stocks and bonds,"Bonds and stocks are both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders).","Bonds and stocks are both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders)"
what states has the electric chair,"As of 2010, electrocution is an optional form of execution in Alabama , Florida , South Carolina and Virginia .","Alabama , Florida , South Carolina and Virginia"
what states has the electric chair,"As of 2010, electrocution is an optional form of execution in Alabama , Florida , South Carolina and Virginia .","Alabama , Florida , South Carolina and Virginia"
when did germans enter paris in ww2,The Liberation of Paris (also known as the Battle for Paris) took place during World War II from 19 August 1944 until the surrender of the occupying German garrison on 25 August.,19 August 1944
who wrote the song feelin alright,"Feelin' Alright? also known as ""Feeling Alright"" is a song written by Dave Mason of the English rock band Traffic from their eponymous 1968 album, Traffic .",Dave Mason
who wrote the song feelin alright,"Feelin' Alright? also known as ""Feeling Alright"" is a song written by Dave Mason of the English rock band Traffic from their eponymous 1968 album, Traffic .",Dave Mason
what are loan originations,"Loan origination is the process by which a borrower applies for a new loan , and a lender processes that application.","the process by which a borrower applies for a new loan , and a lender processes that application"
what are loan originations,"Loan origination is the process by which a borrower applies for a new loan , and a lender processes that application.","the process by which a borrower applies for a new loan , and a lender processes that application"
what are loan originations,Loan origination is a specialized version of new account opening for financial services organizations.,a specialized version of new account opening for financial services organizations
what are loan originations,Loan origination is a specialized version of new account opening for financial services organizations.,a specialized version of new account opening for financial services organizations
When did the New Deal start,The New Deal was a series of economic programs enacted in the United States between 1933 and 1936.,1933
When did the New Deal start,The New Deal was a series of economic programs enacted in the United States between 1933 and 1936.,1933
what year did aerosmith i dont want to miss a thing,I Don't Want to Miss a Thing is a song performed by American rock band Aerosmith for the 1998 film Armageddon .,1998
what year did aerosmith i dont want to miss a thing,I Don't Want to Miss a Thing is a song performed by American rock band Aerosmith for the 1998 film Armageddon .,1998
when did daylight savings time start,The modern idea of daylight saving was first proposed in 1895 by George Vernon Hudson and it was first implemented during the First World War .,1895
when did daylight savings time start,The modern idea of daylight saving was first proposed in 1895 by George Vernon Hudson and it was first implemented during the First World War .,first implemented during the First World War
What region of France is Montargis in?,The town is located about south of Paris and east of Orléans in the Gâtinais .,south of Paris and east of Orléans in the Gâtinais
What region of France is Montargis in?,The town is located about south of Paris and east of Orléans in the Gâtinais .,south of Paris and east of Orléans in the Gâtinais
what year lord of rings made?,"It was written in stages between 1937 and 1949, much of it during World War II .",1937 and 1949
what year lord of rings made?,"It was written in stages between 1937 and 1949, much of it during World War II .",written in stages between 1937 and 1949
what is  file based system,"In computing , a file system (or filesystem) is a type of data store which can be used to store, retrieve and update a set of files .","a type of data store which can be used to store, retrieve and update a set of files"
what is  file based system,"In computing , a file system (or filesystem) is a type of data store which can be used to store, retrieve and update a set of files .","In computing , a file system (or filesystem) is a type of data store which can be used to store, retrieve and update a set of files"
What political conflicts marked the presidency of William Howard Taft?,"Abroad, Taft sought to further the economic development of nations in Latin America and Asia through "" Dollar Diplomacy "", and showed decisiveness and restraint in response to revolution in Mexico .",revolution in Mexico
